,original,dataset,unified,symptom_id
0,L.A. Pain,eg,Боль в животе,1.0
1,U.A. pain,eg,Боль в животе,1.0
2,Vomiting feeling,eg,Рвота,2.0
3,Yellowship Urine,eg,Неестественная желтизна мочи,3.0
4,Indigestion,eg,Несварение,4.0
5,Temperature,eg,Повышенная температура,5.0
6,uncoordination,OHAS,Нарушение координации,6.0
7,fever,OHAS,Повышенная температура,5.0
8,pleuritic pain,OHAS,Боль в груди,7.0
9,snuffle,OHAS,Насморк,8.0
10,throat sore,OHAS,Боль в горле,9.0
11,malaise,OHAS,Недомогание,10.0
12,debilitation,OHAS,Общая слабость,11.0
13,asthenia,OHAS,Хроническая усталость,12.0
14,chill,OHAS,Озноб,13.0
15,scleral icterus,OHAS,Пожелтение глаз,14.0
16,nasal flaring,OHAS,Расширение ноздрей,15.0
17,dysuria,OHAS,Боль при мочеиспускании,16.0
18,lip smacking,OHAS,Причмокивания,17.0
19,headache,OHAS,Головная боль,18.0
20,sneeze,OHAS,Насморк,8.0
21,snore,OHAS,Храп,19.0
22,green sputum,OHAS,Мокрота,20.0
23,shortness of breath,OHAS,Одышка,21.0
24,distress respiratory,OHAS,"Одышка, синеватая кожа",22.0
25,blackout,OHAS,Провалы в памяти,23.0
26,extreme exhaustion,OHAS,Истощение,24.0
27,heme positive,OHAS,Кровь в кале,25.0
28,pain abdominal,OHAS,Боль в животе,1.0
29,vomiting,OHAS,рвота,2.0
30,disequilibrium,OHAS,Кровь в кале,25.0
31,nausea,OHAS,Тошнота,26.0
32,intoxication,OHAS,Отравлепние,27.0
33,haemorrhage,OHAS,-,
34,guaiac positive,OHAS,Кровь в кале,25.0
35,pain,OHAS,-,
36,decreased body weight,OHAS,Снижение веса,28.0
37,sore to touch,OHAS,Боль при прикосновениях,29.0
38,dizziness,OHAS,Головокружение,30.0
39,pain chest,OHAS,Боль в груди,7.0
40,sweat,OHAS,Повышенное потоотделение,31.0
41,sweating increased,OHAS,Повышенное потоотделение,31.0
42,nonsmoker,OHAS,-,
43,pressure chest,OHAS,Давит в груди,32.0
44,syncope,OHAS,Обморок,33.0
45,numbness,OHAS,-,
46,chest discomfort,OHAS,Дискомфорт в груди,34.0
47,st segment depression,OHAS,-,
48,worry,OHAS,Тревожное состояние,35.0
49,t wave inverted,OHAS,-,
50,bradycardia,OHAS,-,
51,dyspnea,OHAS,Одышка,21.0
52,seizure,OHAS,Судорожные припадки,36.0
53,hypometabolism,OHAS,-,
54,aura,OHAS,Аура,37.0
55,muscle twitch,OHAS,Судороги,38.0
56,drowsiness,OHAS,Сонливость,39.0
57,tremor,OHAS,Дрожь,40.0
58,unresponsiveness,OHAS,Притупление чувств,41.0
59,hemiplegia,OHAS,Паралич половины тела,42.0
60,myoclonus,OHAS,Судороги,38.0
61,gurgle,OHAS,Бульканье в груди,43.0
62,sleepy,OHAS,Сонливость,39.0
63,lethargy,OHAS,Вялость,44.0
64,wheelchair bound,OHAS,-,
65,hyperkalemia,OHAS,-,
66,orthopnea,OHAS,Одышка,21.0
67,rale,OHAS,Хрип,45.0
68,urgency of micturition,OHAS,Недержание,46.0
69,ascites,OHAS,Сильное вздутие живота,47.0
70,apyrexial,OHAS,Повышенная температура,5.0
71,mental status changes,OHAS,Психические расстройства,48.0
72,difficulty,OHAS,Тяжесть в теле,49.0
73,diarrhea,OHAS,Диарея,50.0
74,hypotension,OHAS,Пониженное давление,51.0
75,breath sounds decreased,OHAS,Трудно дышать,52.0
76,swelling,OHAS,-,
77,hypokinesia,OHAS,Затрудненные движения,53.0
78,lightheadedness,OHAS,Головокружение,30.0
79,unwell,OHAS,-,
80,anorexia,OHAS,Анорексия,54.0
81,sensory discomfort,OHAS,Притупление чувств,41.0
82,history of - blackout,OHAS,Провалы в памяти,23.0
83,prostatism,OHAS,Боль при почеиспускании,55.0
84,hyponatremia,OHAS,-,
85,fall,OHAS,Обморок,33.0
86,unsteady gait,OHAS,Шаткая походка,56.0
87,polyuria,OHAS,Недержание,46.0
88,nightmare,OHAS,Ночные кошмары,57.0
89,speech slurred,OHAS,Невнятная речь,58.0
90,weight gain,OHAS,Повышение веса,59.0
91,fatigue,OHAS,Хроническая усталость,12.0
92,tired,OHAS,Хроническая усталость,12.0
93,agitation,OHAS,Волнение,60.0
94,motor retardation,OHAS,Затрудненные движения,53.0
95,mass of body structure,OHAS,Лишний вес,61.0
96,fatigability,OHAS,Быстрая утомляемость,62.0
97,prodrome,OHAS,Тошнота,26.0
98,myalgia,OHAS,Боль в мышцах,63.0
99,general discomfort,OHAS,Общий дискомфорт,64.0
100,dyspnea on exertion,OHAS,Одышка,21.0
101,asterixis,OHAS,Тяжело находиться в одном положении,65.0
102,numbness of hand,OHAS,Онемение рук,66.0
103,photophobia,OHAS,Боязнь света,67.0
104,para 2,OHAS,-,
105,abortion,OHAS,-,
106,intermenstrual heavy bleeding,OHAS,Сильное межменструальное кровотоечение,68.0
107,muscle hypotonia,OHAS,-,
108,hypotonic,OHAS,Пониженное давление,51.0
109,previous pregnancies 2,OHAS,-,
110,heartburn,OHAS,Изжога,69.0
111,primigravida,OHAS,-,
112,abnormally hard consistency,OHAS,Увеличение лимфатических узлов,70.0
113,proteinemia,OHAS,-,
114,paresthesia,OHAS,Жжение и покалывания на коже,71.0
115,titubation,OHAS,Заикание,72.0
116,dysarthria,OHAS,Нарушение речи,73.0
117,painful swallowing,OHAS,Боль при глотании,74.0
118,hoarseness,OHAS,Хрип,45.0
119,stridor,OHAS,Шумный свист при дыхании,75.0
120,stridor,OHAS,Спазмы,76.0
121,dysdiadochokinesia,OHAS,-,
122,ataxia,OHAS,Потеря контроля над телом,77.0
123,suicidal,OHAS,Суицидальные мысли,78.0
124,hoard,OHAS,Накопительство,79.0
125,irritable mood,OHAS,Раздражительность,80.0
126,neologism,OHAS,"Придумывание ""своих"" слов",81.0
127,feeling suicidal,OHAS,Суицидальные мысли,78.0
128,feeling hopeless,OHAS,Чувство безнадежности,82.0
129,hallucinations auditory,OHAS,Слуховые галлюцинации,83.0
130,achalasia,OHAS,Спазмы,76.0
131,stiffness,OHAS,Оцепенение,84.0
132,lesion,OHAS,Поражения кожи,85.0
133,side pain,OHAS,Боль в боку,86.0
134,hirsutism,OHAS,Аномально сильный волосяной покров,87.0
135,sniffle,OHAS,Насморк,8.0
136,distended abdomen,OHAS,узловые высыпания на коже,88.0
137,vertigo,OHAS,Головокружение,30.0
138,bradykinesia,OHAS,Замедленная ходьба и речь,89.0
139,out of breath,OHAS,Одышка,21.0
140,urge incontinence,OHAS,Недержание,46.0
141,homelessness,OHAS,-,
142,sleeplessness,OHAS,Бессоница,90.0
143,unconscious state,OHAS,-,
144,panic,OHAS,Панические атаки,91.0
145,wheezing,OHAS,Хрип,45.0
146,cough,OHAS,Кашель,92.0
147,chest tightness,OHAS,Стеснение в груди,93.0
148,non-productive cough,OHAS,Кашель,92.0
149,productive cough,OHAS,Кашель,92.0
150,symptom aggravating factors,OHAS,-,
151,tachypnea,OHAS,Учащенное дыхание,94.0
152,breech presentation,OHAS,-,
153,cyanosis,OHAS,Синюшная кожа,95.0
154,itching,dsp,Зуд,96.0
155,skin rash,dsp,Сыпь на коже,97.0
156,nodal skin eruptions,dsp,узловые высыпания на коже,88.0
157,continuous sneezing,dsp,Насморк,8.0
158,chills,dsp,-,
159,joint pain,dsp,Боль в суставах,98.0
160,stomach pain,dsp,Боль в животе,1.0
161,acidity,dsp,Кислотный рефлюкс,99.0
162,ulcers on tongue,dsp,язвы на языке,100.0
163,muscle wasting,dsp,атрофия мышц,101.0
164,burning micturition,dsp,Боль при мочеиспускании,16.0
165,spotting  urination,dsp,кровянистые выделения при мочеиспускании,102.0
166,weight gain,dsp,Повышение веса,59.0
167,anxiety,dsp,Тревожное состояние,35.0
168,cold hands and feets,dsp,холодные руки и ноги,103.0
169,mood swings,dsp,перепады настроения,104.0
170,weight loss,dsp,Снижение веса,28.0
171,restlessness,dsp,Повышенная энергия,105.0
172,patches in throat,dsp,-,
173,irregular sugar level,dsp,Скачки сахара,106.0
174,cough,dsp,Кашель,92.0
175,high fever,dsp,Повышенная температура,5.0
176,sunken eyes,dsp,Впалые глаза,107.0
177,breathlessness,dsp,Одышка,21.0
178,dehydration,dsp,Обезвоживание,108.0
179,indigestion,dsp,Расстройство желудка,109.0
180,yellowish skin,dsp,Неестественно желтая кожа,110.0
181,dark urine,dsp,Тёмная моча,111.0
182,loss of appetite,dsp,Потеря аппетита,112.0
183,pain behind the eyes,dsp,Боль за глазами,113.0
184,back pain,dsp,Боль в спине,114.0
185,constipation,dsp,Запор,115.0
186,abdominal pain,dsp,Боль в животе,1.0
187,diarrhoea,dsp,Диарея,50.0
188,mild fever,dsp,Повышенная температура,5.0
189,yellow urine,dsp,Неестественная желтизна мочи,3.0
190,yellowing of eyes,dsp,Пожелтение глаз,14.0
191,acute liver failure,dsp,-,
192,fluid overload,dsp,-,
193,swelling of stomach,dsp,Вздутие живота,116.0
194,swelled lymph nodes,dsp,Увеличение лимфатических узлов,70.0
195,blurred and distorted vision,dsp,Нарушения зрения,117.0
196,phlegm,dsp,мокрота,20.0
197,throat irritation,dsp,Боль в горле,9.0
198,redness of eyes,dsp,покраснение глаз,118.0
199,sinus pressure,dsp,-,
200,runny nose,dsp,Насморк,8.0
201,congestion,dsp,-,
202,chest pain,dsp,Боль в груди,7.0
203,weakness in limbs,dsp,Слабость в конечностях,119.0
204,fast heart rate,dsp,Быстрый ритм сердца,120.0
205,pain during bowel movements,dsp,Боль во время дефекации,121.0
206,pain in anal region,dsp,Боль в анальной области,122.0
207,bloody stool,dsp,Кровь в кале,25.0
208,irritation in anus,dsp,Раздражение в Заднем Проходе,123.0
209,neck pain,dsp,Боль в шее,124.0
210,cramps,dsp,Судороги,38.0
211,bruising,dsp,Синяки,125.0
212,obesity,dsp,Ожирение,126.0
213,swollen legs,dsp,Опухшие ноги,127.0
214,swollen blood vessels,dsp,Опухшие кровеносные сосуды,128.0
215,puffy face and eyes,dsp,Опухшее лицо и глаза,129.0
216,enlarged thyroid,dsp,Увеличение щитовидной железы,130.0
217,brittle nails,dsp,Ломкие ногти,131.0
218,swollen extremeties,dsp,Опухшие конечности,132.0
219,excessive hunger,dsp,Голод,133.0
220,extra marital contacts,dsp,Внебрачные контакты,134.0
221,drying and tingling lips,dsp,Сухость и покалывание губ,135.0
222,slurred speech,dsp,Невнятная речь,58.0
223,knee pain,dsp,Боль в коленях,136.0
224,hip joint pain,dsp,Боль в тазобедренном суставе,137.0
225,muscle weakness,dsp,Мышечная слабость,138.0
226,stiff neck,dsp,-,
227,swelling joints,dsp,Опухание суставов,139.0
228,movement stiffness,dsp,Жесткость движения,140.0
229,spinning movements,dsp,-,
230,loss of balance,dsp,Нарушение равновесия,141.0
231,unsteadiness,dsp,Потеря контроля над телом,77.0
232,loss of smell,dsp,Потеря обоняния,142.0
233,bladder discomfort,dsp,Дискомфорт в мочевом пузыре,143.0
234,foul smell of urine,dsp,Отвратительный запах мочи,144.0
235,continuous feel of urine,dsp,Частое мочеиспускание,145.0
236,passage of gases,dsp,Метеоризм,146.0
237,toxic look (typhos),dsp,-,
238,depression,dsp,Депрессия,147.0
239,irritability,dsp,Раздражительность,80.0
240,muscle pain,dsp,Мышечная боль,148.0
241,altered sensorium,dsp,-,
242,red spots over body,dsp,Красные пятна на теле,149.0
243,abnormal menstruation,dsp,Аномальные менструации,150.0
244,dischromic  patches,dsp,Изменение цвета кожи,151.0
245,watering from eyes,dsp,Слезотечение из глаз,152.0
246,increased appetite,dsp,Повышенный аппетит,153.0
247,family history,dsp,-,
248,mucoid sputum,dsp,Мокрота,20.0
249,rusty sputum,dsp,Мокрота,20.0
250,lack of concentration,dsp,Отсутствие концентрации,154.0
251,visual disturbances,dsp,Нарушения зрения,117.0
252,receiving blood transfusion,dsp,Получение переливания крови,155.0
253,receiving unsterile injections,dsp,Прием нестерильных инъекций,156.0
254,coma,dsp,Кома,157.0
255,stomach bleeding,dsp,-,
256,distention of abdomen,dsp,Вздутие живота,116.0
257,history of alcohol consumption,dsp,Алкоголизм,158.0
258,blood in sputum,dsp,Кровь в мокроте,159.0
259,prominent veins on calf,dsp,Выступающие вены на икре,160.0
260,palpitations,dsp,Учащенное сердцебиение,161.0
261,painful walking,dsp,Боль при ходьбе,162.0
262,pus filled pimples,dsp,Прыщи,163.0
263,blackheads,dsp,Угри,164.0
264,scurring,dsp,-,
265,skin peeling,dsp,шелушение кожи,165.0
266,silver like dusting,dsp,-,
267,small dents in nails,dsp,Маленькие вмятины на ногтях,166.0
268,inflammatory nails,dsp,Воспалительные ногти,167.0
269,blister,dsp,Волдырь,168.0
270,red sore around nose,dsp,Болевое покраснение в районе носа,169.0
271,yellow crust ooze,dsp,Желтые корки на коже,170.0
272,prognosis,dsp,-,
273,spontaneous rupture of membranes,OHAS,Разрыв мембраны матки,171.0
274,hallucinations visual,OHAS,Зрительные галлюцинации,172.0
275,verbal auditory hallucinations,OHAS,Слуховые галлюцинации,83.0
276,terrify,OHAS,Состояние ужаса,173.0
277,energy increased,OHAS,Повышенная энергия,105.0
278,mood depressed,OHAS,Депрессия,147.0
279,decompensation,OHAS,Нарушение работы органов,174.0
280,cicatrisation,OHAS,Рубцы,175.0
281,scar tissue,OHAS,Рубцы,175.0
282,loose associations,OHAS,Несовпадение ответов и вопросов,176.0
283,abscess bacterial,OHAS,Бактериальные нарывы,177.0
284,abdomen acute,OHAS,Боль в животе,1.0
285,air fluid level,OHAS,Жидкость в легких,178.0
286,catching breath,OHAS,Одышка,21.0
287,abdominal tenderness,OHAS,Боль в животе,1.0
288,flatulence,OHAS,Метеоризм,146.0
289,constipation,OHAS,Запор,115.0
290,thicken,OHAS,-,
291,gravida 0,OHAS,-,
292,hematuria,OHAS,Выделение крови при мочеиспускании,179.0
293,tumor cell invasion,OHAS,-,
294,anosmia,OHAS,Потеря обоняния,142.0
295,metastatic lesion,OHAS,-,
296,food intolerance,OHAS,-,
297,night sweat,OHAS,Обильное ночное потоотделение,180.0
298,hemianopsia homonymous,OHAS,Потеря зрения одним глазом,181.0
299,satiety early,OHAS,Быстрая насыщаемость,182.0
300,sedentary,OHAS,Сидячий образ жизни,183.0
301,angina pectoris,OHAS,Боль в груди,7.0
302,unhappy,OHAS,Чувство несчастья,184.0
303,labored breathing,OHAS,Затрудненное дыхание,185.0
304,"hypothermia, natural",OHAS,Крайне низкая температура тела,186.0
305,hematocrit decreased,OHAS,-,
306,hypoxemia,OHAS,-,
307,renal angle tenderness,OHAS,Боль в почках,187.0
308,feels hot/feverish,OHAS,Повышенная температура,5.0
309,cushingoid facies,OHAS,Неестественаая округлость лица,188.0
310,cushingoid habitus,OHAS,Неестественаая округлость лица,188.0
311,emphysematous change,OHAS,Затрудненное дыхание,185.0
312,pansystolic murmur,OHAS,-,
313,jugular venous distention,OHAS,Вздутие ярменных вен,189.0
314,systolic ejection murmur,OHAS,-,
315,mass in breast,OHAS,Скопление жира на груди,190.0
316,retropulsion,OHAS,Склонность к ходьбе задом наперед,191.0
317,erythema,OHAS,Разрыв капиляров,192.0
318,estrogen use,OHAS,-,
319,burning sensation,OHAS,Жжение и покалывания на коже,71.0
320,formication,OHAS,Мурашки по телу,193.0
321,phonophobia,OHAS,Боязнь громких звуков,194.0
322,rolling of eyes,OHAS,Закатывание глаз,195.0
323,moody,OHAS,-,
324,ambidexterity,OHAS,-,
325,absences finding,OHAS,-,
326,facial paresis,OHAS,Частичный паралич лица,196.0
327,neck stiffness,OHAS,Скованность шеи,197.0
328,extrapyramidal sign,OHAS,Спонтанные движения телом,198.0
329,Stahli's line,OHAS,-,
330,vision blurred,OHAS,Нарушения зрения,117.0
331,room spinning,OHAS,Головокружение,30.0
332,rambling speech,OHAS,Невнятная речь,58.0
333,clumsiness,OHAS,Нарушение координации,6.0
334,dysesthesia,OHAS,Дизестезия,199.0
335,polymyalgia,OHAS,Боль в мышцах,63.0
336,passed stones,OHAS,Камни в почках,200.0
337,qt interval prolonged,OHAS,-,
338,paresis,OHAS,Частичный паралич тела,201.0
339,hemodynamically stable,OHAS,-,
340,rhonchus,OHAS,Хрип,45.0
341,orthostasis,OHAS,-,
342,yellow sputum,OHAS,Мокрота,20.0
343,mediastinal shift,OHAS,-,
344,impaired cognition,OHAS,"Нарушение сознания (памяти, изучение нового)",202.0
345,sinus rhythm,OHAS,-,
346,general unsteadiness,OHAS,Нарушение координации,6.0
347,bruit,OHAS,-,
348,consciousness clear,OHAS,-,
349,redness,OHAS,Неестественно красная кожа,203.0
350,polydypsia,OHAS,Чувство жажды,204.0
351,clonus,OHAS,Судороги,38.0
352,egophony,OHAS,Голос похож на блеянье козы,205.0
353,aphagia,OHAS,Больно глотать,206.0
354,paralyse,OHAS,Частичный паралич тела,201.0
355,low back pain,OHAS,Боль в спине,114.0
356,charleyhorse,OHAS,Спазмы,76.0
357,pain neck,OHAS,Боль в шее,124.0
358,lung nodule,OHAS,-,
359,atypia,OHAS,-,
360,urinary hesitation,OHAS,Боль при почеиспускании,55.0
361,dizzy spells,OHAS,Головокружение,30.0
362,shooting pain,OHAS,Стреляющая боль,207.0
363,prolonged vomiting,OHAS,рвота,2.0
364,welt,OHAS,Волдырь,168.0
365,transaminitis,OHAS,-,
366,tinnitus,OHAS,Звон в ушах,208.0
367,hydropneumothorax,OHAS,-,
368,superimposition,OHAS,-,
369,haemoptysis,OHAS,Харканье кровью,209.0
370,difficulty passing urine,OHAS,Боль при мочеиспускании,16.0
371,monoclonal,OHAS,-,
372,ecchymosis,OHAS,Красные пятна на теле,149.0
373,pallor,OHAS,Неестественная бледность,210.0
374,pain back,OHAS,Боль в спине,114.0
375,arthralgia,OHAS,Боль в суставах,98.0
376,sputum purulent,OHAS,Мокрота,20.0
377,hypercapnia,OHAS,-,
378,patient non compliance,OHAS,-,
379,breakthrough pain,OHAS,"Боль, не исчезающая от обезболивающего",211.0
380,hepatosplenomegaly,OHAS,"Выбухание под правыми ребрами, смещающееся при вдохне",212.0
381,moan,OHAS,Стоны,213.0
382,Murphy's sign,OHAS,-,
383,colic abdominal,OHAS,Колики в животе,214.0
384,cardiovascular finding,OHAS,Сердечно-сосудистые заболевания,215.0
385,cardiovascular event,OHAS,Сердечно-сосудистые заболевания,215.0
386,groggy,OHAS,Нарушение координации,6.0
387,gasping for breath,OHAS,Одышка,21.0
388,feces in rectum,OHAS,Запор,115.0
389,catatonia,OHAS,Ступор,216.0
390,weepiness,OHAS,Плаксивость,217.0
391,withdraw,OHAS,Ломка,218.0
392,behavior hyperactive,OHAS,Гиперактивность,219.0
393,hypertonicity,OHAS,Напряжение в мышцах,220.0
394,hypoalbuminemia,OHAS,-,
395,pruritus,OHAS,Зуд,96.0
396,stool color yellow,OHAS,Желтый цвет стула,221.0
397,oliguria,OHAS,Аномально малое количество мочи,222.0
398,unable to concentrate,OHAS,Невозможность сконцентрироваться,223.0
399,st segment elevation,OHAS,-,
400,presence of q wave,OHAS,-,
401,palpitation,OHAS,"Быстрое, сильное, прерывистое сердцебиение",224.0
402,r wave feature,OHAS,-,
403,has religious belief,OHAS,-,
404,overweight,OHAS,Лишний вес,61.0
405,systolic murmur,OHAS,-,
406,left atrial hypertrophy,OHAS,-,
407,alcohol binge episode,OHAS,Алкоголизм,158.0
408,hot flush,OHAS,Внезапное чувство жара,225.0
409,feeling strange,OHAS,-,
410,pustule,OHAS,Прыщи,163.0
411,fecaluria,OHAS,Моча с примесью кала,226.0
412,projectile vomiting,OHAS,рвота,2.0
413,pneumatouria,OHAS,Выделение воздуха вместе с мочой,227.0
414,cystic lesion,OHAS,-,
415,slowing of urinary stream,OHAS,Замедленное выделение мочи,228.0
416,enuresis,OHAS,Недержание,46.0
417,no status change,OHAS,-,
418,bedridden,OHAS,-,
419,hypersomnolence,OHAS,Сонливость,39.0
420,underweight,OHAS,Недостаток веса,229.0
421,frail,OHAS,Повышенная утомляемость,230.0
422,posturing,OHAS,Нарушение осанки,231.0
423,tonic seizures,OHAS,Судороги,38.0
424,drool,OHAS,Обильное слюноотделение,232.0
425,pin-point pupils,OHAS,Зрачки-точки,233.0
426,tremor resting,OHAS,Тремор в покое,234.0
427,paraparesis,OHAS,Паралич двух рук или двух ног,235.0
428,fear of falling,OHAS,Боязнь высоты,236.0
429,para 1,OHAS,-,
430,disturbed family,OHAS,-,
431,hypersomnia,OHAS,Сонливость,39.0
432,hyperhidrosis disorder,OHAS,Повышенное потоотделение,31.0
433,mydriasis,OHAS,Расширение зрачка,237.0
434,exhaustion,OHAS,Истощение,24.0
435,pericardial friction rub,OHAS,-,
436,cardiomegaly,OHAS,-,
437,large-for-dates fetus,OHAS,-,
438,immobile,OHAS,-,
439,flare,OHAS,"необоснованные подъёмы температуры, слабость, головные боли, боли в мышцах, быструю утомляемость",238.0
440,pulsus paradoxus,OHAS,Пониженное давление,51.0
441,,OHAS,-,
442,soft tissue swelling,OHAS,Отеки,239.0
443,poor dentition,OHAS,Нарушение прикуса,240.0
444,adverse reaction,OHAS,Аллергия на лекарства,241.0
445,adverse effect,OHAS,Аллергия на лекарства,241.0
446,abdominal bloating,OHAS,Вздутие живота,116.0
447,nervousness,OHAS,Нервозность,242.0
448,splenomegaly,OHAS,-,
449,bleeding of vagina,OHAS,Кровотечение влагалища,243.0
450,hypoproteinemia,OHAS,-,
451,dullness,OHAS,-,
452,red blotches,OHAS,Красные пятна на коже,244.0
453,no known drug allergies,OHAS,-,
454,fremitus,OHAS,Вибрация тела при дыхании,245.0
455,hunger,OHAS,Голод,133.0
456,behavior showing increased motor activity,OHAS,Гиперактивность,219.0
457,coordination abnormal,OHAS,Нарушение координации,6.0
458,clammy skin,OHAS,Липкая кожа,246.0
459,cachexia,OHAS,Истощение,24.0
460,flushing,OHAS,Неестественно красная кожа,203.0
461,choke,OHAS,Удушье,247.0
462,tenesmus,OHAS,"постоянные, режущие, тянущие, жгущие боли в области прямой кишки, без выделения кала",248.0
463,incoherent,OHAS,Невнятная речь,58.0
464,lameness,OHAS,Хромота,249.0
465,claudication,OHAS,Хромота,249.0
466,stuffy nose,OHAS,Заложенность носа,250.0
467,heavy legs,OHAS,Тяжесть в ногах,251.0
468,prostate tender,OHAS,Повышенная чувствительность простаты,252.0
469,pain foot,OHAS,Боль в ступнях,253.0
470,bowel sounds decreased,OHAS,Запор,115.0
471,decreased stool caliber,OHAS,Уменьшение количества стула,254.0
472,nausea and vomiting,OHAS,"Тошнота, рвота",255.0
473,indifferent mood,OHAS,Состояние безразличия,256.0
474,hepatomegaly,OHAS,-,
475,stupor,OHAS,Ступор,216.0
476,rigor - temperature-associated observation,OHAS,Озноб,13.0
477,hacking cough,OHAS,Кашель,92.0
478,dyspareunia,OHAS,Боль во время проникновения (половой акт),257.0
479,hypokalemia,OHAS,-,
480,floppy,OHAS,Состояние безразличия,256.0
481,Heberden's node,OHAS,Твердые выступы на пальцах,258.0
482,focal seizures,OHAS,Судорожные припадки,36.0
483,abnormal sensation,OHAS,-,
484,stinging sensation,OHAS,Жжение и покалывания на коже,71.0
485,asymptomatic,OHAS,-,
486,rest pain,OHAS,Боль в состоянии покоя,259.0
487,monocytosis,OHAS,-,
488,posterior rhinorrhea,OHAS,Выделения из носа,260.0
489,hematochezia,OHAS,Кровь в кале,25.0
490,macule,OHAS,Красные пятна на коже,244.0
491,scratch marks,OHAS,Царапины на коже,261.0
492,decreased translucency,OHAS,-,
493,hypesthesia,OHAS,Пониженная чувствительность кожи,262.0
494,hyperacusis,OHAS,Усиленное восприятие звуков,263.0
495,breath-holding spell,OHAS,-,
496,retch,OHAS,рвота,2.0
497,hyperventilation,OHAS,Учащенное дыхание,94.0
498,excruciating pain,OHAS,-,
499,gag,OHAS,-,
500,pulse absent,OHAS,-,
501,awakening early,OHAS,Раннее пробуждение,264.0
502,pain in lower limb,OHAS,Боль в ногах,265.0
503,transsexual,OHAS,-,
504,photopsia,OHAS,"Пятна, точки и фигуры перед глазами",266.0
505,giddy mood,OHAS,Головокружение,30.0
506,throbbing sensation quality,OHAS,Пульсации по всему телу,267.0
507,sciatica,OHAS,Радикулит,268.0
508,frothy sputum,OHAS,Мокрота,20.0
509,homicidal thoughts,OHAS,Мысли об убийстве,269.0
510,verbally abusive behavior,OHAS,-,
511,barking cough,OHAS,Кашель,92.0
512,rapid shallow breathing,OHAS,Учащенное дыхание,94.0
513,noisy respiration,OHAS,Шумное дыхание,270.0
514,nasal discharge present,OHAS,Выделения из носа,260.0
515,milky,OHAS,Неестественная бледность,210.0
516,regurgitates after swallowing,OHAS,Отрыжка,271.0
517,blanch,OHAS,Неестественная бледность,210.0
518,elation,OHAS,-,
519,todd paralysis,OHAS,Прситупы слабости,272.0
520,alcoholic withdrawal symptoms,OHAS,Алкоголизм,158.0
521,urinoma,OHAS,Боль в почках,187.0
522,hypocalcemia result,OHAS,-,
523,rhd positive,OHAS,-,
524,inappropriate affect,OHAS,-,
525,poor feeding,OHAS,-,
526,ache,OHAS,-,
527,macerated skin,OHAS,Морщинистая кожа,273.0
528,heavy feeling,OHAS,Тяжесть в теле,49.0
529,gravida 10,OHAS,-,
530,hyperemesis,OHAS,--,
531,spasm,OHAS,Спазмы,76.0
